10.000000	22.641570	0.015264
50.000000	21.684299	0.016819
200.000000	18.663009	0.021795
400.000000	15.570950	0.024140
600.000000	13.356212	0.025013
800.000000	11.596557	0.024741
1000.000000	10.244715	0.024318
1200.000000	9.249242	0.023604
1400.000000	8.170856	0.022766
1600.000000	7.582907	0.022288
1800.000000	6.769540	0.021596
2000.000000	6.427959	0.021100
2200.000000	5.943321	0.020396
2400.000000	5.498553	0.020068
2600.000000	5.102348	0.019210
2800.000000	4.748443	0.018726
3000.000000	4.463010	0.018216
